Sector;Name;Market Cap;spread
Information Technology;Facebook, Inc.;523,42B;$62,88
Information Technology;Microsoft Corp.;689,98B;$32,85
Information Technology;Alphabet Inc Class C;728,54B;$383,70
Information Technology;Alphabet Inc Class A;733,82B;$373,70
Information Technology;Apple Inc.;809,51B;$48,98
Financials;Citigroup Inc.;192,71B;$24,56
Financials;Berkshire Hathaway;261,40B;$56,69
Financials;Wells Fargo;281,46B;$17,04
Financials;Bank of America Corp;321,48B;$10,60
Financials;JPMorgan Chase & Co.;386,61B;$35,72
Health Care;Merck & Co.;152,24B;$13,17
Health Care;AbbVie Inc.;181,39B;$65,81
Health Care;Pfizer Inc.;208,51B;$7,76
Health Care;United Health Group Inc.;218,83B;$94,30
Health Care;Johnson & Johnson;353,06B;$35,17
Consumer Discretionary;McDonald's Corp.;132,10B;$54,34
Consumer Discretionary;The Walt Disney Company;157,82B;$19,90
Consumer Discretionary;Comcast Corp.;186,48B;$9,22
Consumer Discretionary;Home Depot;223,38B;$70,79
Consumer Discretionary;Amazon.com Inc;685,87B;$685,50
Industrials;United Technologies;105,39B;$32,19
Industrials;Honeywell Int'l Inc.;114,42B;$45,82
Industrials;General Electric;132,25B;$15,88
Industrials;3M Company;138,72B;$84,28
Industrials;Boeing Company;205,62B;$197,76
Consumer Staples;Philip Morris International;153,58B;$26,89
Consumer Staples;PepsiCo Inc.;161,41B;$17,74
Consumer Staples;Coca-Cola Company (The);189,86B;$8,40
Consumer Staples;Procter & Gamble;206,32B;$14,57
Consumer Staples;Wal-Mart Stores;304,68B;$43,09
Energy;EOG Resources;61,16B;$37,01
Energy;ConocoPhillips;65,48B;$19,05
Energy;Schlumberger Ltd.;96,53B;$21,69
Energy;Chevron Corp.;218,98B;$31,33
Energy;Exxon Mobil Corp.;326,15B;$13,25
Materials;Ecolab Inc.;38,46B;$20,89
Materials;Praxair Inc.;42,95B;$51,42
Materials;LyondellBasell;43,56B;$43,94
Materials;Monsanto Co.;53,08B;$16,18
Materials;DowDuPont;165,20B;$13,07
Real Estate;Public Storage;32,26B;$51,28
Real Estate;Equinix;33,33B;$133,45
Real Estate;Crown Castle International Corp.;44,18B;$28,04
Real Estate;Simon Property Group Inc;48,14B;$37,20
Real Estate;American Tower Corp A;59,21B;$51,92
Utilities;Exelon Corp.;34,73B;$9,37
Utilities;Southern Co.;43,50B;$10,88
Utilities;Dominion Energy;47,54B;$13,71
Utilities;Duke Energy;52,08B;$18,87
Utilities;NextEra Energy;69,66B;$35,46
Telecommunication Services;CenturyLink Inc;18,24B;$14,45
Telecommunication Services;Verizon Communications;208,09B;$11,97
Telecommunication Services;AT&T Inc;226,71B;$10,15
